ACTUAL;MONTO;CLIENTE;REMITO;FECHA
UTIL;0;laoeste tx2;1059;2017-10-18
UTIL;0;lanus tx2;1060;2017-10-18
UTIL;0;lalee tx2;1061;2017-10-19
UTIL;0;galicia tx2;1062;2017-10-19
UTIL;0;caseros tx2;1063;2017-10-19
UTIL;0;libreria los primos;1064;2017-10-19
UTIL;0;pilar miguel tx2;1065;2017-10-19
UTIL;0;grand bourg tx2;1066;2017-10-19
UTIL;0;lomas tx2;1067;2017-10-20
UTIL;1042,3180000000002;catan tx2;1069;2017-10-20
UTIL;0;jhonny grand bourg tx2;1074;2017-10-22
UTIL;0;big store;1075;2017-10-22
UTIL;0;independencia tx2;1076;2017-10-22
UTIL;0;tapiales tx2;1078;2017-10-22
UTIL;0;luisa tx2;1079;2017-10-22
UTIL;0;san luisa tx2;1080;2017-10-22
UTIL;0;ramos tx2;1081;2017-10-22
UTIL;0;la terminal;1082;2017-10-22
UTIL;0;silvio serrano;1083;2017-10-22
UTIL;0;moreno tx2;1084;2017-10-22
UTIL;71728,79999999999;NULL;1085;2017-10-22
UTIL;0;medrano tx2;1100;2017-10-23
UTIL;0;crovara 1423 tx2;1101;2017-10-23
UTIL;0;diego santa fe;1102;2017-10-23
UTIL;0;juan mansilla tx2;1103;2017-10-23
UTIL;0;avellaneda 1961;1104;2017-10-23
UTIL;0;san fernando tx2;1105;2017-10-23
UTIL;0;avellaneda 3431;1106;2017-10-23
UTIL;0;solano tx2;1107;2017-10-23
UTIL;0;claypole tx2;1108;2017-10-23
UTIL;0;florencio tx2;1109;2017-10-23
UTIL;0;varela calzada tx2;1110;2017-10-23
UTIL;0;cobo tx2;1111;2017-10-23
UTIL;0;carlos tx2;1120;2017-10-24
UTIL;0;boedolomas tx2;1121;2017-10-24
UTIL;0;bingocrovara tx2;1122;2017-10-24
UTIL;0;yrigoyen paz;1123;2017-10-24
UTIL;0;no existe mas - alem grande tx2;1124;2017-10-24
UTIL;0;guardia nacional tx2;1125;2017-10-24
UTIL;0;san isidro tx2;1126;2017-10-24
UTIL;0;beccar tx2;1127;2017-10-24
UTIL;0;suarez tx2;1129;2017-10-24
UTIL;0;yrigoyen lanus;1130;2017-10-25
UTIL;0;avellaneda tx2;1131;2017-10-25
UTIL;0;merlo libertador;1133;2017-10-25
UTIL;0;merlo moreno;1134;2017-10-25
UTIL;0;ruta 23 tx2;1135;2017-10-25
UTIL;0;merlo tx2;1136;2017-10-25
UTIL;0;escalada tx2;1153;2017-10-26
UTIL;0;alberdi tx2;1154;2017-10-26
UTIL;0;franco 5827;1155;2017-10-26
UTIL;0;kimi tx2;1156;2017-10-26
UTIL;0;cuenca tz2;1157;2017-10-26
UTIL;0;mosconi tx2;1159;2017-10-26
UTIL;0;xeng tx2;1160;2017-10-26
UTIL;0;cabildo 1757;1161;2017-10-26
UTIL;86115,80160000002;NULL;1162;2017-10-27
UTIL;116917,97760000001;NULL;1163;2017-10-27
